condition,patients,true_positive_events,false_alarm_events,truth_events,false_alarm_time_seconds,total_monitoring_hours,nonseizure_hours,event_sensitivity,fa_per_24h,false_alarm_time_min_per_24h,false_alarm_time_s_per_24h,detection_delay_mean_s
supervised_frozen,22,140,6574,182,308525.0,948.7194444444444,943.9250000000001,0.7692307692307693,167.14887305665172,130.08060572877474,7804.836343726485,24.692857142857143
meta_band_frozen,22,142,5605,182,244727.0,948.7194444444444,943.9250000000001,0.7802197802197802,142.51132240379266,103.18203192021996,6190.921915213196,54.309859154929576
meta_band_ttt,22,142,5603,182,244200.0,948.7194444444444,943.9250000000001,0.7802197802197802,142.46047090605714,102.9598376759316,6177.590260555896,54.29577464788732
meta_temporal_frozen,22,154,6885,182,371765.0,948.7194444444444,943.9250000000001,0.8461538461538461,175.05628095452496,156.74391504337717,9404.634902602631,22.974025974025974
meta_temporal_ttt,22,153,6914,182,378348.0,948.7194444444444,943.9250000000001,0.8406593406593407,175.79362767169002,159.51944580267556,9571.166748160533,23.405228758169933
